[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:05] [info] FRACTURE: Out of Bounds
[14:15:52] [info] FRACTURE: Out of Bounds
[14:15:52] [info] FRACTURE: Out of Bounds
[14:15:52] [info] FRACTURE: Out of Bounds
[14:15:52] [info] FRACTURE: Out of Bounds
[14:15:52] [info] FRACTURE: Out of Bounds
[14:15:52] [info] FRACTURE: Out of Bounds
[14:15:52] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
[14:15:54] [info] FRACTURE: Out of Bounds
